Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/grid_10000_10000_sym.bin: |V|=100000000, |E|=400000000, param=131072, num_src=25, num_round=10
source 0: 329511    
4601 Warmup Round: 1.352069
4601 Round 1: 1.328569
4601 Round 2: 1.383157
4601 Round 3: 1.357155
4601 Round 4: 1.336601
4601 Round 5: 1.346840
4601 Round 6: 1.483902
4601 Round 7: 1.401084
4601 Round 8: 1.313679
4601 Round 9: 1.446321
4601 Round 10: 1.444211
4601 Warmup Round: 1.566686
4601 Round 1: 1.410838
4601 Round 2: 1.447212
4601 Round 3: 1.415455
4601 Round 4: 1.380884
4601 Round 5: 1.426867
4601 Round 6: 1.416049
4601 Round 7: 1.370707
4601 Round 8: 1.359301
4601 Round 9: 1.414281
4601 Round 10: 1.425679
Average time: 1.384152	1.406727

source 1: 28713910  
4600 Warmup Round: 1.611310
4600 Round 1: 1.543736
4600 Round 2: 1.452990
4600 Round 3: 1.487385
4600 Round 4: 1.500521
4600 Round 5: 1.513155
4600 Round 6: 1.458656
4600 Round 7: 1.505160
4600 Round 8: 1.508179
4600 Round 9: 1.498206
4600 Round 10: 1.533300
4600 Warmup Round: 2.008238
4600 Round 1: 1.490668
4600 Round 2: 1.541332
4600 Round 3: 1.555080
4600 Round 4: 1.436059
4600 Round 5: 1.467446
4600 Round 6: 1.527928
4600 Round 7: 1.404177
4600 Round 8: 1.550245
4600 Round 9: 1.400467
4600 Round 10: 1.590682
Average time: 1.500129	1.496408

source 2: 98448204  
4602 Warmup Round: 1.342530
4602 Round 1: 1.325582
4602 Round 2: 1.560030
4602 Round 3: 1.406181
4602 Round 4: 1.484450
4602 Round 5: 1.484817
4602 Round 6: 1.537955
4602 Round 7: 1.522499
4602 Round 8: 1.507903
4602 Round 9: 1.422462
4602 Round 10: 1.390336
4602 Warmup Round: 1.588726
4602 Round 1: 1.441518
4602 Round 2: 1.428103
4602 Round 3: 1.479256
4602 Round 4: 1.491495
4602 Round 5: 1.522274
4602 Round 6: 1.605169
4602 Round 7: 1.505951
4602 Round 8: 1.498729
4602 Round 9: 1.567338
4602 Round 10: 1.472470
Average time: 1.464222	1.501230

source 3: 32612764  
4593 Warmup Round: 1.563754
4593 Round 1: 1.488803
4593 Round 2: 1.466312
4593 Round 3: 1.365985
4593 Round 4: 1.547834
4593 Round 5: 1.570688
4593 Round 6: 1.458717
4593 Round 7: 1.473365
4593 Round 8: 1.436442
4593 Round 9: 1.407496
4593 Round 10: 1.394068
4593 Warmup Round: 1.578761
4593 Round 1: 1.370034
4593 Round 2: 1.430599
4593 Round 3: 1.554579
4593 Round 4: 1.510689
4593 Round 5: 1.380356
4593 Round 6: 1.466263
4593 Round 7: 1.474988
4593 Round 8: 1.484954
4593 Round 9: 1.376734
4593 Round 10: 1.471501
Average time: 1.460971	1.452070

source 4: 46348061  
4595 Warmup Round: 1.391613
4595 Round 1: 1.393493
4595 Round 2: 1.392091
4595 Round 3: 1.525187
4595 Round 4: 1.474754
4595 Round 5: 1.349444
4595 Round 6: 1.455999
4595 Round 7: 1.368062
4595 Round 8: 1.478707
4595 Round 9: 1.367970
4595 Round 10: 1.348776
4595 Warmup Round: 1.452037
4595 Round 1: 1.525155
4595 Round 2: 1.556055
4595 Round 3: 1.370068
4595 Round 4: 1.399506
4595 Round 5: 1.476487
4595 Round 6: 1.633987
4595 Round 7: 1.496291
4595 Round 8: 1.524702
4595 Round 9: 1.512114
4595 Round 10: 1.523626
Average time: 1.415448	1.501799

source 5: 32663278  
4596 Warmup Round: 1.543710
4596 Round 1: 1.468946
4596 Round 2: 1.501107
4596 Round 3: 1.455212
4596 Round 4: 1.394557
4596 Round 5: 1.375070
4596 Round 6: 1.281385
4596 Round 7: 1.467792
4596 Round 8: 1.383248
4596 Round 9: 1.402653
4596 Round 10: 1.432403
4596 Warmup Round: 1.510637
4596 Round 1: 1.528711
4596 Round 2: 1.600091
4596 Round 3: 1.569264
4596 Round 4: 1.572160
4596 Round 5: 1.553263
4596 Round 6: 1.505856
4596 Round 7: 1.567847
4596 Round 8: 1.508844
4596 Round 9: 1.443370
4596 Round 10: 1.539118
Average time: 1.416237	1.538852

source 6: 71828276  
4597 Warmup Round: 1.565006
4597 Round 1: 1.436987
4597 Round 2: 1.492302
4597 Round 3: 1.558281
4597 Round 4: 1.474694
4597 Round 5: 1.420995
4597 Round 6: 1.416916
4597 Round 7: 1.545472
4597 Round 8: 1.452781
4597 Round 9: 1.361385
4597 Round 10: 1.465771
4597 Warmup Round: 1.657218
4597 Round 1: 1.560465
4597 Round 2: 1.477426
4597 Round 3: 1.488719
4597 Round 4: 1.509112
4597 Round 5: 1.552478
4597 Round 6: 1.344487
4597 Round 7: 1.579094
4597 Round 8: 1.427130
4597 Round 9: 1.538242
4597 Round 10: 1.443179
Average time: 1.462558	1.492033

source 7: 90419040  
4593 Warmup Round: 1.627455
4593 Round 1: 1.466035
4593 Round 2: 1.486345
4593 Round 3: 1.338616
4593 Round 4: 1.441451
4593 Round 5: 1.492798
4593 Round 6: 1.485366
4593 Round 7: 1.441462
4593 Round 8: 1.505485
4593 Round 9: 1.373161
4593 Round 10: 1.477556
4593 Warmup Round: 1.584255
4593 Round 1: 1.480255
4593 Round 2: 1.518716
