Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/grid_10000_10000_sym.bin: |V|=100000000, |E|=400000000, param=4194304, num_src=25, num_round=10
source 0: 329511    
144 Warmup Round: 0.653121
145 Round 1: 0.624709
145 Round 2: 0.610131
145 Round 3: 0.606250
145 Round 4: 0.609358
145 Round 5: 0.581777
145 Round 6: 0.580936
145 Round 7: 0.590742
145 Round 8: 0.608136
145 Round 9: 0.600947
145 Round 10: 0.586164
145 Warmup Round: 0.877557
145 Round 1: 0.809152
144 Round 2: 0.834063
144 Round 3: 0.823228
145 Round 4: 0.819600
145 Round 5: 0.801907
144 Round 6: 0.817133
145 Round 7: 0.813379
145 Round 8: 0.800453
145 Round 9: 0.799871
145 Round 10: 0.827791
Average time: 0.599915	0.814658

source 1: 28713910  
145 Warmup Round: 0.776580
145 Round 1: 0.615401
145 Round 2: 0.573871
145 Round 3: 0.619746
145 Round 4: 0.590327
145 Round 5: 0.609724
145 Round 6: 0.607603
145 Round 7: 0.600033
145 Round 8: 0.628543
145 Round 9: 0.631328
145 Round 10: 0.591829
145 Warmup Round: 0.816572
145 Round 1: 0.838289
145 Round 2: 0.802446
145 Round 3: 0.806664
144 Round 4: 0.816729
145 Round 5: 0.831466
145 Round 6: 0.804352
145 Round 7: 0.841536
145 Round 8: 0.818556
145 Round 9: 0.844319
145 Round 10: 0.857406
Average time: 0.606840	0.826176

source 2: 98448204  
145 Warmup Round: 0.625074
145 Round 1: 0.592507
145 Round 2: 0.622471
145 Round 3: 0.629290
145 Round 4: 0.585282
145 Round 5: 0.615760
145 Round 6: 0.604570
145 Round 7: 0.614549
145 Round 8: 0.610269
145 Round 9: 0.607931
145 Round 10: 0.583219
145 Warmup Round: 0.872557
145 Round 1: 0.874877
145 Round 2: 0.877013
145 Round 3: 0.874516
145 Round 4: 0.825879
145 Round 5: 0.857378
145 Round 6: 0.814095
145 Round 7: 0.846508
145 Round 8: 0.833569
145 Round 9: 0.882237
144 Round 10: 0.838165
Average time: 0.606585	0.852424

source 3: 32612764  
145 Warmup Round: 0.595937
144 Round 1: 0.595539
145 Round 2: 0.617807
144 Round 3: 0.612222
144 Round 4: 0.607262
145 Round 5: 0.629526
145 Round 6: 0.595799
144 Round 7: 0.644098
144 Round 8: 0.607356
144 Round 9: 0.613175
145 Round 10: 0.621988
144 Warmup Round: 0.822338
144 Round 1: 0.856020
144 Round 2: 0.845117
144 Round 3: 0.842038
144 Round 4: 0.841189
144 Round 5: 0.825078
144 Round 6: 0.839955
144 Round 7: 0.885221
144 Round 8: 0.838052
144 Round 9: 0.849512
144 Round 10: 0.857110
Average time: 0.614477	0.847929

source 4: 46348061  
145 Warmup Round: 0.629251
145 Round 1: 0.587412
145 Round 2: 0.607397
144 Round 3: 0.607576
144 Round 4: 0.635841
144 Round 5: 0.631712
145 Round 6: 0.634584
144 Round 7: 0.641890
144 Round 8: 0.609580
144 Round 9: 0.610736
145 Round 10: 0.588663
144 Warmup Round: 0.807804
144 Round 1: 0.817496
144 Round 2: 0.821455
144 Round 3: 0.834118
144 Round 4: 0.813358
144 Round 5: 0.798977
145 Round 6: 0.826321
144 Round 7: 0.830819
144 Round 8: 0.817782
144 Round 9: 0.832203
144 Round 10: 0.851046
Average time: 0.615539	0.824357

source 5: 32663278  
144 Warmup Round: 0.590833
144 Round 1: 0.618315
145 Round 2: 0.621455
144 Round 3: 0.613463
144 Round 4: 0.604989
144 Round 5: 0.590677
144 Round 6: 0.621733
145 Round 7: 0.610799
144 Round 8: 0.587838
145 Round 9: 0.615951
144 Round 10: 0.596028
145 Warmup Round: 0.857039
144 Round 1: 0.830707
144 Round 2: 0.846145
145 Round 3: 0.840486
145 Round 4: 0.827197
144 Round 5: 0.797666
144 Round 6: 0.847602
144 Round 7: 0.815368
144 Round 8: 0.834287
144 Round 9: 0.804983
144 Round 10: 0.823112
Average time: 0.608125	0.826755

source 6: 71828276  
145 Warmup Round: 0.616881
145 Round 1: 0.624628
145 Round 2: 0.625544
144 Round 3: 0.631801
144 Round 4: 0.578373
145 Round 5: 0.587417
145 Round 6: 0.641500
145 Round 7: 0.592034
145 Round 8: 0.597632
144 Round 9: 0.608421
145 Round 10: 0.598330
144 Warmup Round: 0.848696
144 Round 1: 0.837395
144 Round 2: 0.855054
144 Round 3: 0.831285
144 Round 4: 0.862478
144 Round 5: 0.822125
144 Round 6: 0.833068
144 Round 7: 0.818125
144 Round 8: 0.818432
145 Round 9: 0.846715
144 Round 10: 0.824594
Average time: 0.608568	0.834927

source 7: 90419040  
144 Warmup Round: 0.597903
144 Round 1: 0.597675
144 Round 2: 0.602704
144 Round 3: 0.629016
144 Round 4: 0.602829
144 Round 5: 0.588518
144 Round 6: 0.612392
144 Round 7: 0.615334
144 Round 8: 0.611782
144 Round 9: 0.619995
144 Round 10: 0.631135
145 Warmup Round: 0.852793
145 Round 1: 0.836538
144 Round 2: 0.808539
144 Round 3: 0.809378
144 Round 4: 0.865541
144 Round 5: 0.822721
144 Round 6: 0.816139
144 Round 7: 0.825852
144 Round 8: 0.795397
144 Round 9: 0.815991
144 Round 10: 0.821466
Average time: 0.611138	0.821756

source 8: 31203572  
145 Warmup Round: 0.620197
145 Round 1: 0.587888
145 Round 2: 0.618366
145 Round 3: 0.625431
145 Round 4: 0.613748
145 Round 5: 0.621310
145 Round 6: 0.631777
145 Round 7: 0.603819
145 Round 8: 0.649427
145 Round 9: 0.633802
145 Round 10: 0.622482
145 Warmup Round: 0.837288
145 Round 1: 0.817359
145 Round 2: 0.836010
145 Round 3: 0.845631
145 Round 4: 0.824749
145 Round 5: 0.831173
145 Round 6: 0.821854
145 Round 7: 0.835278
145 Round 8: 0.817711
145 Round 9: 0.865635
145 Round 10: 0.801066
Average time: 0.620805	0.829647

source 9: 48861505  
144 Warmup Round: 0.606675
144 Round 1: 0.607149
145 Round 2: 0.606314
144 Round 3: 0.625074
144 Round 4: 0.586318
144 Round 5: 0.606417
144 Round 6: 0.615211
145 Round 7: 0.580531
144 Round 8: 0.615889
144 Round 9: 0.610515
145 Round 10: 0.625410
145 Warmup Round: 0.842415
144 Round 1: 0.812865
144 Round 2: 0.836732
144 Round 3: 0.827066
144 Round 4: 0.807048
144 Round 5: 0.816264
144 Round 6: 0.825949
145 Round 7: 0.866370
145 Round 8: 0.826797
145 Round 9: 0.846285
144 Round 10: 0.814804
Average time: 0.607883	0.828018

source 10: 12784324  
145 Warmup Round: 0.622276
145 Round 1: 0.596017
145 Round 2: 0.608781
145 Round 3: 0.596424
144 Round 4: 0.600001
145 Round 5: 0.634232
145 Round 6: 0.610455
145 Round 7: 0.591779
145 Round 8: 0.593435
145 Round 9: 0.602680
145 Round 10: 0.623712
145 Warmup Round: 0.821612
145 Round 1: 0.849388
145 Round 2: 0.822196
145 Round 3: 0.814538
145 Round 4: 0.812951
144 Round 5: 0.832165
145 Round 6: 0.817006
144 Round 7: 0.855823
145 Round 8: 0.837211
145 Round 9: 0.825660
144 Round 10: 0.851853
Average time: 0.605752	0.831879

source 11: 33732939  
144 Warmup Round: 0.605826
144 Round 1: 0.587205
144 Round 2: 0.631381
144 Round 3: 0.630752
145 Round 4: 0.631301
144 Round 5: 0.607229
144 Round 6: 0.587338
144 Round 7: 0.612400
144 Round 8: 0.584649
145 Round 9: 0.608759
145 Round 10: 0.692732
144 Warmup Round: 0.823085
144 Round 1: 0.858015
144 Round 2: 0.841784
144 Round 3: 0.829204
145 Round 4: 0.847175
144 Round 5: 0.847485
144 Round 6: 0.835324
144 Round 7: 0.817699
144 Round 8: 0.836421
144 Round 9: 0.824094
144 Round 10: 0.838504
Average time: 0.617375	0.837570

source 12: 27148017  
145 Warmup Round: 0.608613
145 Round 1: 0.613208
145 Round 2: 0.623509
145 Round 3: 0.606004
