Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/grid_10000_10000_sym.bin: |V|=100000000, |E|=400000000, param=262144, num_src=25, num_round=10
source 0: 329511    
2301 Warmup Round: 0.951221
2301 Round 1: 0.952561
2301 Round 2: 0.913925
2301 Round 3: 0.919284
2301 Round 4: 0.851827
2301 Round 5: 0.870527
2301 Round 6: 0.940331
2301 Round 7: 0.901193
2301 Round 8: 0.961084
2301 Round 9: 0.908020
2301 Round 10: 0.983777
2301 Warmup Round: 1.134769
2301 Round 1: 0.939097
2301 Round 2: 0.997494
2301 Round 3: 0.914773
2301 Round 4: 0.916119
2301 Round 5: 0.993704
2301 Round 6: 0.947930
2301 Round 7: 0.909133
2301 Round 8: 0.894627
2301 Round 9: 0.957239
2301 Round 10: 0.981007
Average time: 0.920253	0.945112

source 1: 28713910  
2301 Warmup Round: 1.140353
2301 Round 1: 0.903363
2301 Round 2: 0.925649
2301 Round 3: 0.965403
2301 Round 4: 0.983774
2301 Round 5: 0.998682
2301 Round 6: 0.990097
2301 Round 7: 0.998579
2301 Round 8: 0.955024
2301 Round 9: 0.899255
2301 Round 10: 0.997432
2301 Warmup Round: 0.935091
2301 Round 1: 1.025460
2301 Round 2: 1.284201
2301 Round 3: 0.978342
2301 Round 4: 1.104013
2301 Round 5: 1.105118
2301 Round 6: 1.036137
2301 Round 7: 0.953611
2301 Round 8: 0.919274
2301 Round 9: 1.015023
2301 Round 10: 1.046081
Average time: 0.961726	1.046726

source 2: 98448204  
2301 Warmup Round: 0.908808
2301 Round 1: 0.972583
2301 Round 2: 0.925579
2301 Round 3: 0.994120
2301 Round 4: 0.948963
2301 Round 5: 1.027540
2301 Round 6: 0.943080
2301 Round 7: 0.971540
2301 Round 8: 1.002648
2301 Round 9: 1.054586
2301 Round 10: 0.969107
2301 Warmup Round: 1.079331
2301 Round 1: 1.035474
2301 Round 2: 1.072302
2301 Round 3: 1.040226
2301 Round 4: 1.063123
2301 Round 5: 1.036728
2301 Round 6: 1.029556
2301 Round 7: 0.993344
2301 Round 8: 0.920037
2301 Round 9: 1.003074
2301 Round 10: 0.926744
Average time: 0.980975	1.012061

source 3: 32612764  
2297 Warmup Round: 1.029589
2297 Round 1: 0.994852
2297 Round 2: 1.015422
2297 Round 3: 0.983712
2297 Round 4: 0.904152
2297 Round 5: 0.983810
2297 Round 6: 0.992246
2297 Round 7: 1.060489
2297 Round 8: 0.948014
2297 Round 9: 0.894628
2297 Round 10: 0.886281
2297 Warmup Round: 1.006075
2297 Round 1: 0.924667
2297 Round 2: 1.027534
2297 Round 3: 1.035140
2297 Round 4: 1.064228
2297 Round 5: 1.022185
2297 Round 6: 0.956955
2297 Round 7: 1.068888
2297 Round 8: 0.912960
2297 Round 9: 0.933365
2297 Round 10: 0.994971
Average time: 0.966361	0.994089

source 4: 46348061  
2298 Warmup Round: 0.968934
2298 Round 1: 0.962716
2298 Round 2: 0.995944
2298 Round 3: 0.888720
2298 Round 4: 0.900371
2298 Round 5: 0.876968
2298 Round 6: 0.898584
2298 Round 7: 0.878479
2298 Round 8: 0.982246
2298 Round 9: 0.916945
2298 Round 10: 0.896139
2298 Warmup Round: 0.987698
2298 Round 1: 0.970544
2298 Round 2: 0.969157
2298 Round 3: 0.885598
2298 Round 4: 0.979710
2298 Round 5: 1.103360
2298 Round 6: 0.911024
2298 Round 7: 0.979672
2298 Round 8: 0.937748
2298 Round 9: 0.989182
2298 Round 10: 0.906839
Average time: 0.919711	0.963283

source 5: 32663278  
2299 Warmup Round: 0.954297
2299 Round 1: 0.901011
2299 Round 2: 0.894188
2299 Round 3: 0.976730
2299 Round 4: 1.016313
2299 Round 5: 0.916166
2299 Round 6: 0.912456
2299 Round 7: 0.871991
2299 Round 8: 0.913579
2299 Round 9: 0.905381
2299 Round 10: 0.900486
2299 Warmup Round: 0.932388
2299 Round 1: 0.919805
2299 Round 2: 0.922792
2299 Round 3: 0.992664
2299 Round 4: 0.909805
2299 Round 5: 0.976278
2299 Round 6: 0.907145
2299 Round 7: 0.980800
2299 Round 8: 0.975819
2299 Round 9: 0.940013
2299 Round 10: 0.948523
Average time: 0.920830	0.947364

source 6: 71828276  
2299 Warmup Round: 0.842904
2299 Round 1: 0.986467
2299 Round 2: 0.866521
2299 Round 3: 0.903058
2299 Round 4: 0.985656
2299 Round 5: 0.905243
2299 Round 6: 0.936987
2299 Round 7: 0.887816
2299 Round 8: 0.898857
2299 Round 9: 0.925566
2299 Round 10: 0.913397
2299 Warmup Round: 0.899015
2299 Round 1: 0.944586
2299 Round 2: 0.922692
2299 Round 3: 1.045540
2299 Round 4: 0.949393
2299 Round 5: 1.071199
2299 Round 6: 0.975661
2299 Round 7: 0.904079
2299 Round 8: 0.976309
2299 Round 9: 0.966012
2299 Round 10: 0.962279
Average time: 0.920957	0.971775

source 7: 90419040  
2297 Warmup Round: 0.914525
2297 Round 1: 0.954418
2297 Round 2: 0.897849
2297 Round 3: 0.961315
2297 Round 4: 1.006671
2297 Round 5: 0.949921
