Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/grid_10000_10000_sym.bin: |V|=100000000, |E|=400000000, param=262144, num_src=25, num_round=10
source 0: 329511    
2323 Warmup Round: 0.989697
2323 Round 1: 0.948734
2323 Round 2: 1.039611
2323 Round 3: 1.002161
2323 Round 4: 0.966678
2323 Round 5: 1.012859
2323 Round 6: 0.948540
2323 Round 7: 0.972062
2323 Round 8: 1.043621
2323 Round 9: 1.022505
2323 Round 10: 1.001445
1156 Warmup Round: 0.773611
1156 Round 1: 0.787215
1156 Round 2: 0.736051
1156 Round 3: 0.756477
1156 Round 4: 0.735160
1156 Round 5: 0.749008
1156 Round 6: 0.762265
1156 Round 7: 0.753586
1156 Round 8: 0.736319
1156 Round 9: 0.729691
1156 Round 10: 0.702535
Average time: 0.995822	0.744831

source 1: 28713910  
2322 Warmup Round: 1.563552
2322 Round 1: 1.058173
2322 Round 2: 0.996404
2322 Round 3: 1.053158
2322 Round 4: 1.048887
2322 Round 5: 1.005308
2322 Round 6: 0.955401
2322 Round 7: 1.066782
2322 Round 8: 1.019887
2322 Round 9: 0.936350
2322 Round 10: 1.093650
1160 Warmup Round: 0.695640
1160 Round 1: 0.746694
1160 Round 2: 0.711450
1159 Round 3: 0.761486
1160 Round 4: 0.698867
1160 Round 5: 0.757775
1160 Round 6: 0.702869
1160 Round 7: 0.760961
1159 Round 8: 0.719611
1160 Round 9: 0.773504
1159 Round 10: 0.856576
Average time: 1.023400	0.748979

source 2: 98448204  
2322 Warmup Round: 1.068612
2322 Round 1: 1.025454
2322 Round 2: 1.046390
2322 Round 3: 1.050996
2322 Round 4: 0.997141
2322 Round 5: 1.013935
2322 Round 6: 1.031378
2322 Round 7: 0.991015
2322 Round 8: 1.080191
2322 Round 9: 1.044263
2322 Round 10: 1.063367
1159 Warmup Round: 1.059912
1159 Round 1: 0.865281
1159 Round 2: 0.759342
1159 Round 3: 0.762677
1159 Round 4: 0.806894
1159 Round 5: 0.758131
1159 Round 6: 0.805111
1159 Round 7: 0.783887
1159 Round 8: 0.784316
1159 Round 9: 0.751365
1159 Round 10: 0.735765
Average time: 1.034413	0.781277

source 3: 32612764  
2318 Warmup Round: 1.024215
2318 Round 1: 0.999865
2318 Round 2: 1.090067
2318 Round 3: 0.975032
2318 Round 4: 0.959457
2318 Round 5: 1.083265
2318 Round 6: 1.078250
2318 Round 7: 1.089826
2318 Round 8: 1.050349
2318 Round 9: 0.984586
2318 Round 10: 1.112452
1159 Warmup Round: 0.769994
1159 Round 1: 0.703530
1159 Round 2: 0.759218
1159 Round 3: 0.729195
1159 Round 4: 0.828269
1159 Round 5: 0.768238
1159 Round 6: 0.760613
1159 Round 7: 0.785661
1159 Round 8: 0.810496
1159 Round 9: 0.807006
1159 Round 10: 0.800726
Average time: 1.042315	0.775295

source 4: 46348061  
2319 Warmup Round: 0.997693
2319 Round 1: 1.046109
2319 Round 2: 1.008065
2319 Round 3: 0.979349
2319 Round 4: 1.031830
2319 Round 5: 0.961225
2319 Round 6: 0.958988
2319 Round 7: 1.028672
2319 Round 8: 0.988040
2319 Round 9: 1.027057
2319 Round 10: 1.073807
1154 Warmup Round: 0.827614
1154 Round 1: 0.742812
1154 Round 2: 0.734070
1154 Round 3: 0.817746
1154 Round 4: 0.760589
1154 Round 5: 0.795128
1154 Round 6: 0.775723
1154 Round 7: 0.796239
1154 Round 8: 0.752247
1154 Round 9: 0.813906
1154 Round 10: 0.704909
Average time: 1.010314	0.769337

source 5: 32663278  
2322 Warmup Round: 1.091096
2322 Round 1: 0.992020
2322 Round 2: 1.047846
2322 Round 3: 0.999846
2322 Round 4: 0.953951
2322 Round 5: 0.979446
2322 Round 6: 1.095151
2322 Round 7: 1.084235
2322 Round 8: 1.013600
2322 Round 9: 1.083617
2322 Round 10: 1.173974
1154 Warmup Round: 0.723626
1154 Round 1: 0.735459
1154 Round 2: 0.702265
1154 Round 3: 0.711603
1154 Round 4: 0.798810
1154 Round 5: 0.800508
1154 Round 6: 0.782443
1154 Round 7: 0.815775
1154 Round 8: 0.807005
1154 Round 9: 0.806168
1154 Round 10: 0.766933
Average time: 1.042369	0.772697

source 6: 71828276  
2320 Warmup Round: 1.161862
2320 Round 1: 1.167162
2320 Round 2: 1.100837
2320 Round 3: 1.086754
2320 Round 4: 1.126510
2320 Round 5: 1.123560
2320 Round 6: 1.078832
2320 Round 7: 1.046525
2320 Round 8: 1.151676
2320 Round 9: 1.077818
2320 Round 10: 1.148094
1153 Warmup Round: 0.728013
1153 Round 1: 0.755269
1153 Round 2: 0.736703
1153 Round 3: 0.764687
1153 Round 4: 0.726014
1153 Round 5: 0.716534
1153 Round 6: 0.763807
1153 Round 7: 0.778976
1153 Round 8: 0.777546
1153 Round 9: 0.833177
1153 Round 10: 0.881617
Average time: 1.110777	0.773433

source 7: 90419040  
2318 Warmup Round: 1.061321
2318 Round 1: 1.047655
2318 Round 2: 1.144709
2318 Round 3: 1.153250
2318 Round 4: 1.037199
2318 Round 5: 1.069988
