Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/grid_10000_10000_sym.bin: |V|=100000000, |E|=400000000, param=65536, num_src=25, num_round=10
source 0: 329511    
9201 Warmup Round: 2.620366
9201 Round 1: 2.460040
9201 Round 2: 2.622689
9201 Round 3: 2.613041
9201 Round 4: 2.822675
9201 Round 5: 2.608703
9201 Round 6: 2.594083
9201 Round 7: 2.576259
9201 Round 8: 2.548997
9201 Round 9: 2.633853
9201 Round 10: 2.548759
9201 Warmup Round: 2.803627
9201 Round 1: 2.579857
9201 Round 2: 2.960729
9201 Round 3: 2.809603
9201 Round 4: 2.661362
9201 Round 5: 2.663799
9201 Round 6: 2.488039
9201 Round 7: 2.672011
9201 Round 8: 2.523912
9201 Round 9: 2.566568
9201 Round 10: 2.687295
Average time: 2.602910	2.661318

source 1: 28713910  
9199 Warmup Round: 2.510683
9199 Round 1: 2.735693
9199 Round 2: 2.701385
9199 Round 3: 2.605192
9199 Round 4: 2.607933
9199 Round 5: 2.663327
9199 Round 6: 2.713163
9199 Round 7: 2.788205
9199 Round 8: 2.619794
9199 Round 9: 2.669792
9199 Round 10: 2.707709
9199 Warmup Round: 2.793147
9199 Round 1: 2.619266
9199 Round 2: 2.572907
9199 Round 3: 2.515071
9199 Round 4: 2.616030
9199 Round 5: 2.530041
9199 Round 6: 2.646191
9199 Round 7: 2.692018
9199 Round 8: 2.842335
9199 Round 9: 2.687395
9199 Round 10: 2.722850
Average time: 2.681219	2.644410

source 2: 98448204  
9203 Warmup Round: 2.771870
9203 Round 1: 2.762734
9203 Round 2: 2.701450
9203 Round 3: 2.692953
9203 Round 4: 2.800390
9203 Round 5: 2.793744
9203 Round 6: 2.824472
9203 Round 7: 2.606133
9203 Round 8: 2.533338
9203 Round 9: 2.740968
9203 Round 10: 2.753083
9203 Warmup Round: 2.701532
9203 Round 1: 2.752829
9203 Round 2: 2.809603
9203 Round 3: 2.612824
9203 Round 4: 2.735285
9203 Round 5: 2.502431
9203 Round 6: 2.662962
9203 Round 7: 2.535755
9203 Round 8: 2.750729
9203 Round 9: 2.782714
9203 Round 10: 2.697993
Average time: 2.720927	2.684312

source 3: 32612764  
9186 Warmup Round: 2.740088
9186 Round 1: 2.535678
9186 Round 2: 2.553926
9186 Round 3: 2.598107
9186 Round 4: 2.738969
9186 Round 5: 2.779972
9186 Round 6: 2.685383
9186 Round 7: 2.486022
9186 Round 8: 2.611337
9186 Round 9: 2.703496
9186 Round 10: 2.651383
9186 Warmup Round: 2.773860
9186 Round 1: 2.714686
9186 Round 2: 2.817646
9186 Round 3: 2.643818
9186 Round 4: 2.828779
9186 Round 5: 2.624611
9186 Round 6: 2.639158
9186 Round 7: 2.696432
9186 Round 8: 2.507267
9186 Round 9: 2.606434
9186 Round 10: 2.774599
Average time: 2.634427	2.685343

source 4: 46348061  
9190 Warmup Round: 2.744458
9190 Round 1: 2.723898
9190 Round 2: 2.787446
9190 Round 3: 2.604739
9190 Round 4: 2.680914
9190 Round 5: 2.688856
9190 Round 6: 2.615653
9190 Round 7: 2.710943
9190 Round 8: 2.700800
9190 Round 9: 2.727799
9190 Round 10: 2.727775
9190 Warmup Round: 2.763005
9190 Round 1: 2.774266
9190 Round 2: 2.613023
9190 Round 3: 2.761999
9190 Round 4: 2.743081
9190 Round 5: 2.684048
9190 Round 6: 2.552226
9190 Round 7: 2.716368
9190 Round 8: 2.573814
9190 Round 9: 2.645214
9190 Round 10: 2.734537
Average time: 2.696882	2.679858

source 5: 32663278  
9191 Warmup Round: 2.673229
9191 Round 1: 2.813555
9191 Round 2: 2.728816
9191 Round 3: 2.653189
9191 Round 4: 2.812208
9191 Round 5: 2.657030
9191 Round 6: 2.669232
9191 Round 7: 2.586680
9191 Round 8: 2.693971
9191 Round 9: 2.757206
9191 Round 10: 2.652887
9191 Warmup Round: 2.594555
9191 Round 1: 2.553107
9191 Round 2: 2.795030
9191 Round 3: 2.641139
9191 Round 4: 2.727184
9191 Round 5: 2.790491
9191 Round 6: 2.710453
9191 Round 7: 2.756305
9191 Round 8: 2.808206
9191 Round 9: 2.727687
9191 Round 10: 2.793459
Average time: 2.702477	2.730306

source 6: 71828276  
9194 Warmup Round: 2.492308
9194 Round 1: 2.730310
9194 Round 2: 2.630513
9194 Round 3: 2.625329
9194 Round 4: 2.704926
9194 Round 5: 2.871454
9194 Round 6: 2.731890
9194 Round 7: 2.559996
9194 Round 8: 2.796059
9194 Round 9: 2.748362
9194 Round 10: 2.670707
9194 Warmup Round: 2.594043
9194 Round 1: 2.697760
9194 Round 2: 2.546495
9194 Round 3: 2.598098
9194 Round 4: 2.651528
9194 Round 5: 2.566680
9194 Round 6: 2.630558
9194 Round 7: 2.701567
9194 Round 8: 2.785917
9194 Round 9: 2.665001
9194 Round 10: 2.620811
Average time: 2.706955	2.646442

source 7: 90419040  
9186 Warmup Round: 2.510908
9186 Round 1: 2.658015
9186 Round 2: 2.732983
9186 Round 3: 2.569883
9186 Round 4: 2.542442
9186 Round 5: 2.641216
9186 Round 6: 2.626581
9186 Round 7: 2.655803
9186 Round 8: 2.634830
9186 Round 9: 2.800462
9186 Round 10: 2.792487
9186 Warmup Round: 2.634003
9186 Round 1: 2.626335
9186 Round 2: 2.866444
9186 Round 3: 2.546275
9186 Round 4: 2.739261
9186 Round 5: 2.689572
9186 Round 6: 2.639659
9186 Round 7: 2.701016
9186 Round 8: 2.648658
9186 Round 9: 2.729890
9186 Round 10: 2.624137
Average time: 2.665470	2.681125

source 8: 31203572  
9205 Warmup Round: 2.642075
9205 Round 1: 2.756531
9205 Round 2: 2.810333
9205 Round 3: 2.713227
9205 Round 4: 2.725099
9205 Round 5: 2.669856
9205 Round 6: 2.631363
9205 Round 7: 2.708128
9205 Round 8: 2.717304
9205 Round 9: 2.791176
9205 Round 10: 2.600345
9205 Warmup Round: 2.630442
9205 Round 1: 2.512383
9205 Round 2: 2.513300
9205 Round 3: 2.595385
9205 Round 4: 2.669170
9205 Round 5: 2.603267
9205 Round 6: 2.667602
9205 Round 7: 2.604258
9205 Round 8: 2.644478
9205 Round 9: 2.575080
9205 Round 10: 2.679894
Average time: 2.712336	2.606482

source 9: 48861505  
9190 Warmup Round: 2.513649
9190 Round 1: 2.656718
9190 Round 2: 2.760609
9190 Round 3: 2.648596
9190 Round 4: 2.771433
9190 Round 5: 2.659292
9190 Round 6: 2.599068
9190 Round 7: 2.539926
9190 Round 8: 2.721681
9190 Round 9: 2.805333
9190 Round 10: 2.864304
9190 Warmup Round: 2.793751
9190 Round 1: 2.764014
9190 Round 2: 2.776709
9190 Round 3: 2.518852
9190 Round 4: 2.790832
9190 Round 5: 2.820212
9190 Round 6: 2.702435
9190 Round 7: 2.667111
9190 Round 8: 2.767656
9190 Round 9: 2.783448
9190 Round 10: 2.630025
Average time: 2.702696	2.722129

source 10: 12784324  
9199 Warmup Round: 2.584623
9199 Round 1: 2.574938
9199 Round 2: 2.848713
9199 Round 3: 2.649293
9199 Round 4: 2.708924
9199 Round 5: 2.595585
9199 Round 6: 2.732002
9199 Round 7: 2.778842
9199 Round 8: 2.830788
9199 Round 9: 2.801916
9199 Round 10: 2.833726
9199 Warmup Round: 2.695778
9199 Round 1: 2.706079
9199 Round 2: 2.683344
9199 Round 3: 2.615243
9199 Round 4: 2.825139
9199 Round 5: 2.846493
9199 Round 6: 2.755065
9199 Round 7: 2.777080
9199 Round 8: 2.792120
9199 Round 9: 2.770117
9199 Round 10: 2.814895
Average time: 2.735473	2.758558

source 11: 33732939  
9191 Warmup Round: 2.657787
9191 Round 1: 2.687812
9191 Round 2: 2.558517
9191 Round 3: 2.771670
9191 Round 4: 2.711283
9191 Round 5: 2.762576
9191 Round 6: 2.516097
9191 Round 7: 2.795846
9191 Round 8: 2.748019
9191 Round 9: 2.792932
9191 Round 10: 2.626762
9191 Warmup Round: 2.757260
9191 Round 1: 2.437592
9191 Round 2: 2.839127
9191 Round 3: 2.783434
9191 Round 4: 2.735808
9191 Round 5: 2.684131
9191 Round 6: 2.684457
9191 Round 7: 2.741066
9191 Round 8: 2.614527
9191 Round 9: 2.565984
9191 Round 10: 2.805253
Average time: 2.697151	2.689138

source 12: 27148017  
9217 Warmup Round: 2.645867
9217 Round 1: 2.674936
9217 Round 2: 2.739675
9217 Round 3: 2.856625
9217 Round 4: 2.785868
9217 Round 5: 2.887468
9217 Round 6: 2.727416
9217 Round 7: 2.804063
9217 Round 8: 2.718906
9217 Round 9: 2.838449
9217 Round 10: 2.798743
9217 Warmup Round: 2.740873
9217 Round 1: 2.748367
9217 Round 2: 2.725169
9217 Round 3: 2.691635
9217 Round 4: 2.622571
9217 Round 5: 2.686841
9217 Round 6: 2.675050
9217 Round 7: 2.707616
9217 Round 8: 2.761806
9217 Round 9: 2.704603
9217 Round 10: 2.597184
Average time: 2.783215	2.692084

source 13: 16045320  
9206 Warmup Round: 2.786574
9206 Round 1: 2.660173
