Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/zwan018/origin/grid_10_1000000.bin: |V|=10000000, |E|=40000000, param=1048576, num_src=5, num_round=5
source 0: 329511    
31773 Warmup Round: 11.616389
31773 Round 1: 11.322427
31773 Round 2: 11.636849
31773 Round 3: 11.954577
31773 Round 4: 12.024809
31773 Round 5: 12.039087
24736 Warmup Round: 6.440983
24720 Round 1: 6.039650
24730 Round 2: 6.152865
24734 Round 3: 6.271371
24704 Round 4: 6.869112
24722 Round 5: 6.643226
Average time: 11.795550	6.395245

source 1: 8713910   
31976 Warmup Round: 11.738238
31976 Round 1: 11.804715
31976 Round 2: 11.811148
31976 Round 3: 12.113573
31976 Round 4: 12.580389
31976 Round 5: 13.220586
24542 Warmup Round: 6.594461
24510 Round 1: 6.190855
24510 Round 2: 6.232066
24526 Round 3: 6.495339
24521 Round 4: 6.014069
24520 Round 5: 6.317628
Average time: 12.306082	6.249991

source 2: 8448204   
31228 Warmup Round: 12.005188
31228 Round 1: 11.827250
31228 Round 2: 11.887743
31228 Round 3: 11.517919
31228 Round 4: 12.276970
31228 Round 5: 12.464427
24434 Warmup Round: 6.093568
24506 Round 1: 6.003097
24447 Round 2: 6.543400
24447 Round 3: 6.566849
24462 Round 4: 6.418306
24447 Round 5: 6.326872
Average time: 11.994862	6.371705

source 3: 2612764   
31582 Warmup Round: 12.391488
31582 Round 1: 11.885840
31582 Round 2: 12.779394
31582 Round 3: 11.956741
31582 Round 4: 11.506393
31582 Round 5: 12.333951
24657 Warmup Round: 6.366588
24637 Round 1: 6.220574
24647 Round 2: 6.481606
24630 Round 3: 5.978938
24637 Round 4: 6.402084
24653 Round 5: 6.157878
Average time: 12.092464	6.248216

source 4: 6348061   
31799 Warmup Round: 11.410676
31799 Round 1: 11.505978
31799 Round 2: 12.166532
31799 Round 3: 11.864872
31799 Round 4: 11.522883
31799 Round 5: 12.161494
24664 Warmup Round: 6.044978
24677 Round 1: 6.070106
24666 Round 2: 6.026170
24672 Round 3: 6.376556
24678 Round 4: 6.031366
24677 Round 5: 6.257779
Average time: 11.844352	6.152395

