Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/zwan018/origin/grid_10_1000000.bin: |V|=10000000, |E|=40000000, param=1048576, num_src=5, num_round=5
source 0: 329511    
31773 Warmup Round: 11.041425
31773 Round 1: 11.031975
31773 Round 2: 10.937327
31773 Round 3: 11.319082
31773 Round 4: 11.601069
31773 Round 5: 11.505738
24714 Warmup Round: 6.000253
24726 Round 1: 6.060383
24728 Round 2: 6.037256
24727 Round 3: 6.127127
24738 Round 4: 6.002463
24713 Round 5: 6.154976
Average time: 11.279038	6.076441

source 1: 8713910   
31976 Warmup Round: 11.593342
31976 Round 1: 11.674067
31976 Round 2: 11.495952
31976 Round 3: 11.215282
31976 Round 4: 11.540426
31976 Round 5: 11.394092
24539 Warmup Round: 5.825872
24526 Round 1: 6.095169
24541 Round 2: 5.825891
24520 Round 3: 5.794418
24502 Round 4: 6.520396
24520 Round 5: 6.093283
Average time: 11.463964	6.065831

source 2: 8448204   
31228 Warmup Round: 11.005926
31228 Round 1: 10.866648
31228 Round 2: 10.894024
31228 Round 3: 10.812434
31228 Round 4: 12.024105
31228 Round 5: 11.525946
24486 Warmup Round: 6.301753
24500 Round 1: 5.836064
24458 Round 2: 5.619153
24457 Round 3: 5.659724
24450 Round 4: 6.207989
24435 Round 5: 6.013030
Average time: 11.224631	5.867192

source 3: 2612764   
31582 Warmup Round: 10.815940
31582 Round 1: 11.152490
31582 Round 2: 11.068104
31582 Round 3: 12.255029
31582 Round 4: 10.961735
31582 Round 5: 11.072436
24635 Warmup Round: 5.766447
24646 Round 1: 5.745400
24652 Round 2: 5.744320
24650 Round 3: 6.034026
24657 Round 4: 5.674479
24647 Round 5: 5.723642
Average time: 11.301959	5.784373

source 4: 6348061   
31799 Warmup Round: 11.309648
31799 Round 1: 11.052747
31799 Round 2: 11.212893
31799 Round 3: 11.006466
31799 Round 4: 11.258941
31799 Round 5: 11.111476
24684 Warmup Round: 6.108635
24675 Round 1: 5.803202
24669 Round 2: 5.924270
24668 Round 3: 6.514954
24667 Round 4: 6.427696
24675 Round 5: 5.922258
Average time: 11.128505	6.118476

