Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/zwan018/origin/grid_10_1000000.bin: |V|=10000000, |E|=40000000, param=1048576, num_src=5, num_round=5
source 0: 329511    
31773 Warmup Round: 11.206691
31773 Round 1: 11.140650
31773 Round 2: 11.007094
31773 Round 3: 11.225229
31773 Round 4: 11.599191
31773 Round 5: 11.385879
24707 Warmup Round: 6.480241
24726 Round 1: 5.933113
24727 Round 2: 6.254777
24713 Round 3: 6.164034
24713 Round 4: 6.318167
24728 Round 5: 6.381925
Average time: 11.271609	6.210403

source 1: 8713910   
31976 Warmup Round: 11.406267
31976 Round 1: 11.711066
31976 Round 2: 11.747943
31976 Round 3: 11.913022
31976 Round 4: 11.366390
31976 Round 5: 11.374907
24532 Warmup Round: 6.311179
24527 Round 1: 5.973207
24520 Round 2: 5.935386
24545 Round 3: 6.736107
24517 Round 4: 6.293590
24515 Round 5: 6.228798
Average time: 11.622666	6.233418

source 2: 8448204   
31228 Warmup Round: 11.164238
31228 Round 1: 10.975758
31228 Round 2: 11.427110
31228 Round 3: 10.779833
31228 Round 4: 10.757678
31228 Round 5: 11.179833
24454 Warmup Round: 6.171331
24433 Round 1: 6.086083
24438 Round 2: 5.866986
24461 Round 3: 5.851132
24456 Round 4: 6.011155
24443 Round 5: 5.911360
Average time: 11.024042	5.945343

source 3: 2612764   
31582 Warmup Round: 11.832104
31582 Round 1: 11.953956
31582 Round 2: 11.563815
31582 Round 3: 11.627713
31582 Round 4: 11.850878
31582 Round 5: 11.641793
24669 Warmup Round: 6.066977
24650 Round 1: 5.899045
24663 Round 2: 6.006853
24649 Round 3: 5.921237
24666 Round 4: 6.335980
24637 Round 5: 6.405465
Average time: 11.727631	6.113716

source 4: 6348061   
31799 Warmup Round: 11.821794
31799 Round 1: 12.253565
31799 Round 2: 12.789363
31799 Round 3: 11.908778
31799 Round 4: 12.545395
31799 Round 5: 12.002506
24682 Warmup Round: 6.257384
24666 Round 1: 6.074135
24664 Round 2: 6.020526
24673 Round 3: 6.527764
24681 Round 4: 6.672443
24670 Round 5: 6.506441
Average time: 12.299921	6.360262

