Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/zwan018/origin/grid_10_1000000.bin: |V|=10000000, |E|=40000000, param=1048576, num_src=5, num_round=5
source 0: 329511    
31773 Warmup Round: 11.305836
31773 Round 1: 11.373569
31773 Round 2: 11.290989
31773 Round 3: 11.425198
31773 Round 4: 11.888248
31773 Round 5: 11.496050
24698 Warmup Round: 6.599700
24736 Round 1: 6.583013
24715 Round 2: 6.523574
24690 Round 3: 6.538890
24736 Round 4: 6.272431
24739 Round 5: 6.305370
Average time: 11.494811	6.444656

source 1: 8713910   
31976 Warmup Round: 12.123845
31976 Round 1: 12.189673
31976 Round 2: 11.968431
31976 Round 3: 12.544660
31976 Round 4: 12.448046
31976 Round 5: 11.555360
24516 Warmup Round: 6.245705
24518 Round 1: 6.679268
24514 Round 2: 6.585554
24540 Round 3: 6.961166
24515 Round 4: 6.906212
24506 Round 5: 7.129337
Average time: 12.141234	6.852307

source 2: 8448204   
31228 Warmup Round: 12.152130
31228 Round 1: 11.901852
31228 Round 2: 11.971029
31228 Round 3: 12.592058
31228 Round 4: 11.970536
31228 Round 5: 11.203014
24477 Warmup Round: 6.266579
24451 Round 1: 6.396021
24475 Round 2: 6.452319
24443 Round 3: 6.228204
24454 Round 4: 6.621336
24468 Round 5: 6.997418
Average time: 11.927698	6.539060

source 3: 2612764   
31582 Warmup Round: 11.529742
31582 Round 1: 11.454789
31582 Round 2: 12.154706
31582 Round 3: 12.030642
31582 Round 4: 11.320838
31582 Round 5: 12.569136
24646 Warmup Round: 6.410909
24669 Round 1: 6.630587
24626 Round 2: 6.231595
24644 Round 3: 6.371491
24632 Round 4: 6.554464
24643 Round 5: 6.646335
Average time: 11.906022	6.486894

source 4: 6348061   
31799 Warmup Round: 11.604205
31799 Round 1: 11.892915
31799 Round 2: 12.239783
31799 Round 3: 11.752454
31799 Round 4: 11.608233
31799 Round 5: 11.697859
24668 Warmup Round: 6.283084
24664 Round 1: 6.700400
24667 Round 2: 6.324544
24674 Round 3: 6.374648
24677 Round 4: 6.430325
24677 Round 5: 6.261211
Average time: 11.838249	6.418226

